word,count,band
die,1306,f7
in,766,f7
der,739,f7
und,656,f7
ist,635,f7
das,549,f7
den,316,f7
nicht,279,f7
zu,166,f7
ich,109,f7
.die,2,f7
ist•,1,f7

hat,441,f6
von,433,f6
sie,414,f6
ein,377,f6
eine,316,f6
es,305,f6
sind,288,f6
zum,281,f6
für,277,f6
haben,268,f6
mit,268,f6
diese,222,f6
auch,210,f6
dem,208,f6
bei,205,f6
im,199,f6
auf,183,f6
gibt,160,f6
aber,157,f6
aus,156,f6
war,154,f6
dann,147,f6
sich,125,f6
können,123,f6
mehr,120,f6
wie,119,f6
wir,118,f6
sehr,109,f6
über,109,f6
werden,106,f6
gegen,95,f6
oder,92,f6
viel,92,f6
einem,89,f6
was,89,f6
an,87,f6
nach,87,f6
noch,81,f6
so,80,f6
am,79,f6
jetzt,78,f6
einer,77,f6
man,76,f6
keine,75,f6
einen,74,f6
immer,71,f6
kann,71,f6
vor,70,f6
muss,69,f6
er,67,f6
ihre,65,f6
alle,58,f6
nur,57,f6
wenn,55,f6
hier,53,f6
wird,51,f6
als,49,f6
dieser,47,f6
gut,46,f6
dass,38,f6
schon,38,f6
wieder,38,f6
geht,37,f6
vom,35,f6
um,33,f6
also,32,f6
durch,32,f6
wurde,32,f6
zur,30,f6
bis,29,f6
sein,28,f6
mal,21,f6
habe,20,f6
ihr,20,f6
mich,17,f6
uns,17,f6
mir,16,f6
doch,11,f6
alles,10,f6

menschen,454,f5
viele,297,f5
deshalb,219,f5
beispiel,208,f5
deutschland,137,f5
gesagt,108,f5
oft,90,f5
frauen,84,f5
polizei,83,f5
hamburg,82,f5
heißt,82,f5
wollen,76,f5
müssen,72,f5
nämlich,72,f5
machen,71,f5
deutsche,69,f5
mann,69,f5
spiel,67,f5
will,64,f5
neue,63,f5
sagt,62,f5
diesen,61,f5
einige,61,f5
soll,58,f5
warum,58,f5
andere,57,f5
frau,57,f5
geld,57,f5
sollen,57,f5
waren,56,f5
beim,54,f5
jahr,54,f5
anderen,50,f5
spieler,50,f5
kommen,49,f5
diesem,48,f5
vielleicht,47,f5
gemacht,45,f5
sagen,44,f5
denn,43,f5
jahre,42,f5
arbeit,41,f5
dabei,40,f5
dort,39,f5
bekommen,38,f5
neuen,37,f5
spielen,37,f5
arbeiten,36,f5
dafür,36,f5
dürfen,36,f5
politik,36,f5
weniger,35,f5
bald,34,f5
vielen,34,f5
dazu,33,f5
macht,32,f5
wissen,32,f5
deutschen,31,f5
fahren,31,f5
firma,30,f5
stadt,30,f5
weiter,30,f5
welche,30,f5
jahren,29,f5
mädchen,29,f5
bedeutet,28,f5
mutter,28,f5
wer,28,f5
männer,27,f5
passiert,27,f5
regierung,27,f5
wahl,27,f5
wenig,27,f5
darf,26,f5
europa,26,f5
kommt,26,f5
land,26,f5
wichtig,26,f5
finden,25,f5
mensch,25,f5
auto,24,f5
bekommt,24,f5
findet,24,f5
schlecht,24,f5
alt,23,f5
etwas,23,f5
heute,23,f5
kein,23,f5
seit,23,f5
spd,23,f5
steht,23,f5
ab,22,f5
berlin,22,f5
besser,22,f5
geben,22,f5
große,22,f5
gruppe,22,f5
ihrer,22,f5
dieses,21,f5
eltern,21,f5
kirche,21,f5
lange,21,f5
mai,21,f5
schnell,21,f5
schwer,21,f5
sonntag,21,f5
sprechen,21,f5
thema,21,f5
wahrscheinlich,21,f5
dinge,20,f5
leicht,20,f5
musik,20,f5
cdu,19,f5
gab,19,f5
ihren,19,f5
konnten,19,f5
mehrere,19,f5
mitarbeiter,19,f5
ohne,19,f5
selbst,19,f5
verschiedene,19,f5
zeit,19,f5
erst,18,f5
frankreich,18,f5
fußball,18,f5
leben,18,f5
problem,18,f5
wurden,18,f5
darüber,17,f5
eu,17,f5
euro,17,f5
großen,17,f5
gute,17,f5
ins,17,f5
neuer,17,f5
partei,17,f5
wasser,17,f5
wo,17,f5
alte,16,f5
fragen,16,f5
gehört,16,f5
junge,16,f5
kinder,16,f5
teil,16,f5
woche,16,f5
wollte,16,f5
zusammen,16,f5
außerdem,15,f5
damit,15,f5
gehören,15,f5
informationen,15,f5
manche,15,f5
spiele,15,f5
spricht,15,f5
afd,14,f5
beispiel:•,14,f5
bilder,14,f5
bleiben,14,f5
brauchen,14,f5
ganz,14,f5
gilt,14,f5
lang,14,f5
sehen,14,f5
tag,14,f5
weil,14,f5
zeigen,14,f5
anders,13,f5
angst,13,f5
gehen,13,f5
konnte,13,f5
manchmal,13,f5
medien,13,f5
millionen,13,f5
sorgen,13,f5
unternehmen,13,f5
bild,12,f5
einsatz,12,f5
haus,12,f5
körper,12,f5
leute,12,f5
mitglieder,12,f5
schule,12,f5
sogar,12,f5
tun,12,f5
unsere,12,f5
anderes,11,f5
bisher,11,f5
danach,11,f5
denken,11,f5
grund,11,f5
oktober,11,f5
sollte,11,f5
sprache,11,f5
tochter,11,f5
wahl-recht,11,f5
zeigt,11,f5
zwischen,11,f5
bahn,10,f5
besonders,10,f5
dagegen,10,f5
ersten,10,f5
gefunden,10,f5
genau,10,f5
halten,10,f5
helfen,10,f5
hilfe,10,f5
keinen,10,f5
laufen,10,f5
lernen,10,f5
meisten,10,f5
nichts,10,f5
nähe,10,f5
ort,10,f5
peter,10,f5
spielt,10,f5
treffen,10,f5
wort,10,f5
braucht,9,f5
deutsch,9,f5
einfach,9,f5
ende,9,f5
essen,9,f5
fertig,9,f5
foto,9,f5
genug,9,f5
gewinnen,9,f5
jedes,9,f5
möchte,9,f5
nehmen,9,f5
neu,9,f5
nun,9,f5
sieht,9,f5
statt,9,f5
trotzdem,9,f5
wohnung,9,f5
zukunft,9,f5
allem,8,f5
bad,8,f5
besten,8,f5
einigen,8,f5
fall,8,f5
fest,8,f5
gar,8,f5
gemeinsam,8,f5
geschrieben,8,f5
geworden,8,f5
internet,8,f5
jeden,8,f5
jeder,8,f5
kind,8,f5
könnte,8,f5
lesen,8,f5
minuten,8,f5
nachrichten,8,f5
ob,8,f5
setzen,8,f5
sicher,8,f5
sicherheit,8,f5
stark,8,f5
vater,8,f5
boden,7,f5
daran,7,f5
daten,7,f5
fast,7,f5
fehler,7,f5
gekommen,7,f5
gerade,7,f5
gesehen,7,f5
gesellschaft,7,f5
glauben,7,f5
hatten,7,f5
ihrem,7,f5
kennen,7,f5
kritik,7,f5
kurz,7,f5
luft,7,f5
mein,7,f5
november,7,f5
nächsten,7,f5
person,7,f5
probleme,7,f5
reden,7,f5
stehen,7,f5
stellen,7,f5
straße,7,f5
verein,7,f5
verloren,7,f5
wochen,7,f5
a,6,f5
april,6,f5
bereits,6,f5
berliner,6,f5
denen,6,f5
entscheidung,6,f5
falsch,6,f5
führt,6,f5
ganzen,6,f5
gegeben,6,f5
ging,6,f5
groß,6,f5
großer,6,f5
kleine,6,f5
kosten,6,f5
moment,6,f5
nie,6,f5
nutzen,6,f5
paar,6,f5
platz,6,f5
preis,6,f5
richtig,6,f5
sagte,6,f5
schreiben,6,f5
seinen,6,f5
sex,6,f5
sollten,6,f5
stunden,6,f5
weitere,6,f5
welt,6,f5
zahlen,6,f5
ziel,6,f5
zurück,6,f5
mannschaft,82,f4
flüchtlinge,62,f4
politiker,56,f4
feuer,52,f4
tor,44,f4
behinderung,37,f4
gericht,32,f4
parteien,31,f4
wm,31,f4
niedersachsen,30,f4
rechte,30,f4
schleswig-holstein,29,f4
autos,27,f4
wählen,27,f4
lkw,26,f4
gefahren,25,f4
mannschaften,24,f4
unfall,23,f4
verletzt,23,f4
wichtige,23,f4
berichten,21,f4
facebook,20,f4
schweden,20,f4
sturm,20,f4
züge,20,f4
bombe,19,f4
gewalt,19,f4
horst,19,f4
mexiko,19,f4
nennt,19,f4
seehofer,19,f4
tore,19,f4
fans,18,f4
feuerwehr,18,f4
kiel,18,f4
plan,18,f4
schießt,18,f4
zucker,18,f4
besondere,17,f4
bremen,17,f4
csu,17,f4
gewinnt,17,f4
themen,17,f4
ärzte,17,f4
aktuell,16,f4
baby,16,f4
bezahlen,16,f4
nord,16,f4
stream,16,f4
tests,16,f4
ändern,16,f4
aktion,15,f4
arbeitet,15,f4
ausbildung,15,f4
buch-messe,15,f4
firmen,15,f4
hannover,15,f4
helmut,15,f4
häuser,15,f4
infos,15,f4
krank,15,f4
lehrer,15,f4
olympischen,15,f4
prozess,15,f4
sachsen,15,f4
texte,15,f4
wald,15,f4
wohnungen,15,f4
zug,15,f4
christian,14,f4
europa-wahl,14,f4
flüchtlingen,14,f4
gesetz,14,f4
grünen,14,f4
schmidt,14,f4
straßen,14,f4
aufgaben,13,f4
besonderes,13,f4
brücke,13,f4
eier,13,f4
entscheiden,13,f4
fotos,13,f4
großes,13,f4
kaputt,13,f4
krankheiten,13,f4
wenige,13,f4
ball,12,f4
bauen,12,f4
berichtet,12,f4
brandenburg,12,f4
dauert,12,f4
gefährlich,12,f4
gefängnis,12,f4
geschossen,12,f4
museum,12,f4
parlament,12,f4
polizisten,12,f4
public,12,f4
rassismus,12,f4
roboter,12,f4
rostock,12,f4
schiff,12,f4
schulen,12,f4
spanien,12,f4
streit,12,f4
wollten,12,f4
öfter,12,f4
anfrage,11,f4
besucher,11,f4
betreuung,11,f4
bäume,11,f4
kartoffeln,11,f4
mussten,11,f4
regeln,11,f4
sportler,11,f4
städten,11,f4
tiere,11,f4
unterstützen,11,f4
veranstaltungen,11,f4
verlassen,11,f4
beruf,10,f4
chef,10,f4
eu-länder,10,f4
fahrer,10,f4
fordern,10,f4
gemeinden,10,f4
gesprochen,10,f4
getränke,10,f4
gruppen,10,f4
hilft,10,f4
journalisten,10,f4
klima-schutz,10,f4
lkw-fahrer,10,f4
meinungen,10,f4
moschee,10,f4
nazis,10,f4
pflege,10,f4
protest,10,f4
veröffentlicht,10,f4
wichtiges,10,f4
wolfsburg,10,f4
zeitung,10,f4
älteren,10,f4
arbeiter,9,f4
belgien,9,f4
entschieden,9,f4
facebook-profil,9,f4
familien,9,f4
gefragt,9,f4
getötet,9,f4
gewählt,9,f4
